phenotype	gene	correlation_coefficient	correlation_pvalue	correlation_tstatistic
plasma_glucose	ENSG00000234936	0.0615918510806955	0.277327254573395	1.0882502554629
plasma_glucose	ENSG00000124302	0.0502977346848841	0.375154848844276	0.88813435294293
plasma_glucose	ENSG00000124299	0.0607581533549173	0.283894771155713	1.07346491374977
HOMAIR	ENSG00000145723	-0.0795351872533137	0.160403471040496	1.40707583815096
HOMAIR	ENSG00000145725	-0.028315766548609	0.617742175553665	0.499554289355241
HOMAIR	ENSG00000145730	0.0491279218235359	0.386376468833993	0.867427761963763
HOMAIR	ENSG00000177058	0.0336643787956937	0.552934256086627	0.594014477475191
HOMAIR	ENSG00000234936	0.206846403234023	0.000228906799847415	3.72840875256542
HOMAIR	ENSG00000124302	0.0922457614570367	0.103325847533255	1.63373753832174
HOMAIR	ENSG00000124299	0.0515808943132805	0.363079057817509	0.910851486914638
serum_HDL_cholesterol	ENSG00000145723	0.0369184596559445	0.51519957445424	0.651508273020052
serum_HDL_cholesterol	ENSG00000145725	-0.0350779615707041	0.536377709291204	0.61898752833832
serum_HDL_cholesterol	ENSG00000145730	-0.052371479204649	0.355760835932191	0.924850293280363
serum_HDL_cholesterol	ENSG00000177058	-0.0312603339649695	0.581651704376852	0.551551550519735
serum_HDL_cholesterol	ENSG00000234936	-0.116700260689964	0.0390714818528595	2.07219041637164
serum_HDL_cholesterol	ENSG00000124302	-0.0287208741653442	0.612719353220089	0.50670716445771
serum_HDL_cholesterol	ENSG00000124299	-0.014699585809714	0.795607682706956	0.259258030845099
serum_LDL_cholesterol	ENSG00000145723	0.0186735503036454	0.742098447178706	0.329369077329463
serum_LDL_cholesterol	ENSG00000145725	0.0375708669041968	0.507797605550278	0.663037582038813
serum_LDL_cholesterol	ENSG00000145730	0.0141988225496078	0.802424662983507	0.25042420794777
serum_LDL_cholesterol	ENSG00000177058	0.0345027860408826	0.543084383013163	0.608825753283328
serum_LDL_cholesterol	ENSG00000234936	0.0241043631667308	0.670978660117368	0.425208619990636
serum_LDL_cholesterol	ENSG00000124302	0.00181641033407932	0.974466442921922	0.0320327979968067
serum_LDL_cholesterol	ENSG00000124299	0.0342860054875456	0.545622832365696	0.604995992808507
serum_total_cholesterol	ENSG00000145723	0.020237300330967	0.721362499541073	0.356961782725969
serum_total_cholesterol	ENSG00000145725	0.0372121558095024	0.511860521210759	0.656698352971811
serum_total_cholesterol	ENSG00000145730	0.0138552520877224	0.807110453765055	0.244363488114321
serum_total_cholesterol	ENSG00000177058	0.0390789111548847	0.49090285756881	0.689690940701183
serum_total_cholesterol	ENSG00000234936	-0.0211758445997499	0.70901309083957	0.373523843651958
serum_total_cholesterol	ENSG00000124302	0.00867263049527759	0.878537477840194	0.152949256807831
serum_total_cholesterol	ENSG00000124299	0.0418535236205822	0.460620670774466	0.738742246072985
serum_total_triglycerides	ENSG00000145723	-0.133095200097694	0.0184846907768731	2.36822894204804
serum_total_triglycerides	ENSG00000145725	-0.0687744034120227	0.225010428391863	1.21572837091026
serum_total_triglycerides	ENSG00000145730	-0.0324393476741054	0.567481224639484	0.572375365255813
serum_total_triglycerides	ENSG00000177058	-0.0607036680881	0.284327600932739	1.07249871517141
serum_total_triglycerides	ENSG00000234936	0.147745301553637	0.00884974025309506	2.63442845974797
serum_total_triglycerides	ENSG00000124302	0.0897664238706289	0.112971461996212	1.58946504439298
serum_total_triglycerides	ENSG00000124299	0.0495096752116376	0.382692224619972	0.874184694194954
plasma_free_fatty_acid	ENSG00000145723	-0.0122104940025885	0.829635246312257	0.215350461794019
plasma_free_fatty_acid	ENSG00000145725	0.0178906086290564	0.752552076642123	0.315554824224081
plasma_free_fatty_acid	ENSG00000145730	0.0228574592652284	0.687077394349002	0.403201027458421
plasma_free_fatty_acid	ENSG00000177058	0.0613993928378087	0.278834137537121	1.08483687304058
plasma_free_fatty_acid	ENSG00000234936	0.0530346599554957	0.349693896106591	0.936594511219067
plasma_free_fatty_acid	ENSG00000124302	-0.0327403010386794	0.563890624484754	0.57769120236033
plasma_free_fatty_acid	ENSG00000124299	0.0416035949782292	0.463305077962166	0.73432316922132
glomerular_filtration_rate	ENSG00000145723	-0.00214951516647677	0.969785992843665	0.0379072004316744
glomerular_filtration_rate	ENSG00000145725	-0.0054253964594665	0.923836889600773	0.0956793168864262
glomerular_filtration_rate	ENSG00000145730	-0.014508066643053	0.798213065001084	0.255879472768077
glomerular_filtration_rate	ENSG00000177058	0.0373418038976032	0.510390125958902	0.658989495820986
glomerular_filtration_rate	ENSG00000234936	0.0478576991100702	0.398789477473677	0.84494788855956
glomerular_filtration_rate	ENSG00000124302	-0.0402456055282172	0.478041437866642	0.710314468618904
glomerular_filtration_rate	ENSG00000124299	0.0631569110268472	0.265278427785813	1.11601225393133
plasma_IL1RA	ENSG00000145723	-0.0109606738060633	0.846846137440218	0.193305199831141
plasma_IL1RA	ENSG00000145725	-0.0456328171771611	0.421099005825186	0.805582687729321
plasma_IL1RA	ENSG00000145730	0.0571178021466151	0.313792267152344	1.00893054641077
plasma_IL1RA	ENSG00000177058	0.0492130583270031	0.38555296809875	0.868934622040352
plasma_IL1RA	ENSG00000234936	0.215766274596059	0.000119359723826974	3.8968703261711
plasma_IL1RA	ENSG00000124302	0.0770480241529124	0.17392903908493	1.36280781197581
plasma_IL1RA	ENSG00000124299	0.164561687863702	0.00350396108523004	2.94218843908847
plasma_crp	ENSG00000145723	-0.0490959424383372	0.386686072006119	0.866861752792355
plasma_crp	ENSG00000145725	-0.0935900432583897	0.0983753086706053	1.65775457457516
plasma_crp	ENSG00000145730	-0.0248708848483272	0.661155626152253	0.438738545960355
plasma_crp	ENSG00000177058	-0.0295400704789822	0.602617676949535	0.521172258398324
plasma_crp	ENSG00000234936	0.258103949262912	3.71566630483767e-06	4.71134656358716
plasma_crp	ENSG00000124302	0.127778513453225	0.0237677267390477	2.27202301995655
plasma_crp	ENSG00000124299	0.0979389857282537	0.0836398885055042	1.73551645852998
matsuda	ENSG00000145723	0.10376164762066	0.0671926590078453	1.83682716715825
matsuda	ENSG00000145725	0.0205594901277117	0.717551107580199	0.36206370636653
matsuda	ENSG00000145730	-0.04568563735839	0.421310241323704	0.805219407007338
matsuda	ENSG00000177058	-0.0142784450520831	0.801653209445793	0.251423597774131
matsuda	ENSG00000234936	-0.154314653683824	0.00631084144387515	2.74992917281298
matsuda	ENSG00000124302	-0.0408989510874095	0.471635155362291	0.72070336288565
matsuda	ENSG00000124299	-0.0172313198082595	0.761762874717249	0.30343374302112
plasma_adiponectin	ENSG00000145723	0.172430330152988	0.00220333618105054	3.08708117227466
plasma_adiponectin	ENSG00000145725	0.0675274101857301	0.233550686307456	1.19358330001281
plasma_adiponectin	ENSG00000145730	0.0370976438542559	0.513161078125979	0.654674723698206
plasma_adiponectin	ENSG00000177058	0.0517314526081224	0.361678201655474	0.913517274172533
plasma_adiponectin	ENSG00000234936	-0.0788829266414807	0.163871537221251	1.39546398749485
plasma_adiponectin	ENSG00000124302	-0.0775117732833649	0.171344819575559	1.37105993146538
plasma_adiponectin	ENSG00000124299	0.051128821423187	0.367305601160088	0.902847451517937
plasma_total_fatty_acid	ENSG00000145723	-0.110509245711353	0.0519179673580235	1.95138141486249
plasma_total_fatty_acid	ENSG00000145725	-0.0687976711219499	0.227106432457186	1.21026178205649
plasma_total_fatty_acid	ENSG00000145730	-0.0416612377500337	0.464854949062832	0.731787097318751
plasma_total_fatty_acid	ENSG00000177058	-0.0727831401554667	0.201250081699816	1.28073570559232
plasma_total_fatty_acid	ENSG00000234936	0.125128776295301	0.0276029127766333	2.21339728800846
plasma_total_fatty_acid	ENSG00000124302	0.0563104337443987	0.323041681832332	0.989814631725325
plasma_total_fatty_acid	ENSG00000124299	0.0252711561175971	0.657608101902886	0.443648676517776
fat_free_mass	ENSG00000145723	0.0283254323751836	0.617622122897356	0.499724953345611
fat_free_mass	ENSG00000145725	0.00743105535966318	0.895819136427048	0.131051707114136
fat_free_mass	ENSG00000145730	-0.0860969702636571	0.128526016948473	1.52399556741948
fat_free_mass	ENSG00000177058	-0.0471599601571016	0.405708501441178	0.832601350080944
fat_free_mass	ENSG00000234936	-0.208169324158818	0.000208188332583838	3.75333097730993
fat_free_mass	ENSG00000124302	-0.0575887762283795	0.309812198337904	1.01727741544354
fat_free_mass	ENSG00000124299	-0.0943999312584943	0.09548496742736	1.67222849889015
hip_circumference	ENSG00000145723	0.00938890249950169	0.868593185086271	0.165582397407744
hip_circumference	ENSG00000145725	-0.0131506877704152	0.816741067651353	0.231934961279362
hip_circumference	ENSG00000145730	0.0447584862288466	0.430061867473855	0.79011632775389
hip_circumference	ENSG00000177058	0.0339775970988761	0.549244286755977	0.599547633497622
hip_circumference	ENSG00000234936	0.192620557375226	0.000611837405788358	3.46172720057221
hip_circumference	ENSG00000124302	0.0557639700533891	0.325418723722192	0.984940912036192
hip_circumference	ENSG00000124299	0.100022329937857	0.0772401050279128	1.77280326852975
waist_circumference	ENSG00000145723	-0.0307858263877791	0.587400867167445	0.543171422974829
waist_circumference	ENSG00000145725	-0.0246073618007738	0.664526255179699	0.434086996718735
waist_circumference	ENSG00000145730	0.0582806154509734	0.304026093825098	1.02953981876917
waist_circumference	ENSG00000177058	0.0587684989967878	0.299988968357581	1.03818813333148
waist_circumference	ENSG00000234936	0.289327770524484	1.88734285692481e-07	5.33032849070004
waist_circumference	ENSG00000124302	0.0526298609696859	0.353389283987938	0.929425809719715
waist_circumference	ENSG00000124299	0.142915286786852	0.0113634089112405	2.54647832712767
WHR	ENSG00000145723	-0.0577823479869426	0.308186042169915	1.02070820089752
WHR	ENSG00000145725	-0.0353263836829634	0.533493932546977	0.623376655977194
WHR	ENSG00000145730	0.0370735190174445	0.513435291566606	0.654248398355709
WHR	ENSG00000177058	0.0466927199187176	0.410381457638573	0.824334186084563
WHR	ENSG00000234936	0.260357206261708	3.03377067555622e-06	4.75545370001118
WHR	ENSG00000124302	0.0468988526913971	0.408315974547733	0.827981350676126
WHR	ENSG00000124299	0.130769274740566	0.0206548686456985	2.32611603634695
BMI	ENSG00000145723	-0.0414057157577017	0.465436577519378	0.730824494617759
BMI	ENSG00000145725	-0.0193841496352318	0.73265147021672	0.341907443375721
BMI	ENSG00000145730	0.0544030725863954	0.337383277250542	0.960831572781429
BMI	ENSG00000177058	0.0373566186161018	0.510222245849763	0.659251303855372
BMI	ENSG00000234936	0.237137746591784	2.24286549457056e-05	4.30475848734158
BMI	ENSG00000124302	0.0756644471614547	0.181811023252825	1.33819320914097
BMI	ENSG00000124299	0.108229506271829	0.0557817934507592	1.91992590294608
