GENE	SPLICE	lead_snp	lead_snp_effect	nsnps	PPH0	PPH1	PPH2	PPH3	PPH4
SLC7A10	chr19:33706879:33716459:clu_28328	rs74470437	0.0440768	1839	2.06849181153978e-53	0.717383981164163	5.88832609828162e-54	0.204137501222413	0.0784785176134227
AC008738.1	chr19:33792757:33793032:clu_28339	rs75306861	0.169351	1767	2.35492069975734e-53	0.815035049574435	4.30579782328116e-54	0.148987135477876	0.0359778149476937
AC008738.1	chr19:33792759:33793038:clu_28339	rs75306861	-0.0786918	1767	2.26061106383202e-53	0.782394604909074	3.66718335967597e-54	0.12682997276508	0.0907754223258408
CEBPG	chr19:33864801:33870050:clu_28343	rs10775579	0.101909	1807	8.73677758224838e-54	0.300779928234796	6.19452878796041e-54	0.212771804761754	0.48644826700345
PEPD	chr19:33878387:33878796:clu_28345	rs74949943	-0.206835	1796	2.26622173605462e-53	0.779812342238733	3.99111893700381e-54	0.137252425951191	0.0829352318100734
PEPD	chr19:33878987:33881577:clu_28346	rs8105588	-0.057889	1801	2.13825529685095e-55	0.00735650604356449	2.88170707293091e-53	0.991428364351361	0.00121512960506937
PEPD	chr19:33878987:33882201:clu_28346	rs8106165	0.0337172	1802	1.15698667559841e-55	0.00398051393553114	2.89226075179625e-53	0.995056670130462	0.000962815934004366
PEPD	chr19:33882385:33892627:clu_28347	rs3786898	-0.00275884	1828	2.30405163569157e-53	0.792369667409453	5.05998573683601e-54	0.173980645534669	0.0336496870558738
PEPD	chr19:33902655:33904481:clu_28350	rs76776232	0.143477	1798	2.21953240670603e-53	0.763247699536356	3.77166692918989e-54	0.129592054707082	0.107160245756559
ZFP36L2	chr2:43452891:43453404:clu_52857	rs2017810	-0.0227356	1447	2.70703663850096e-05	0.819971252116019	3.425416946231e-06	0.10368080879847	0.0763174433021797
THADA	chr2:43460021:43506904:clu_52864	rs75773767	-0.411792	1536	7.56300947856256e-06	0.79839707038957	1.0019733319854e-06	0.105678455408595	0.0959159092190244
AC010883.5	chr2:43460040:43460318:clu_52865	rs6728106	0.0801864	1429	2.49010801803758e-05	0.800853988902746	4.4866512733989e-06	0.144242181874516	0.0548744414912847
THADA	chr2:43507035:43514047:clu_52864	rs114014715	-0.0543549	1387	7.19962312170966e-06	0.841912613312008	7.58772204735128e-07	0.0886602099577781	0.0694192183348881
THADA	chr2:43518907:43519243:clu_52867	rs6722806	0.0765547	1375	6.21797340863653e-06	0.841641235296953	6.97500385286084e-07	0.0943469948898694	0.0640048543393841
THADA	chr2:43520352:43547585:clu_52868	rs115035037	0.00599545	1445	5.87429764755813e-06	0.795611322164702	7.68530487213252e-07	0.103988911460771	0.100393123546391
THADA	chr2:43547679:43571261:clu_52869	rs115796743	0.0992548	1422	6.11552500487342e-06	0.832585911118951	7.86619969211965e-07	0.107032426470831	0.0603747602652436
THADA	chr2:43571376:43625110:clu_52869	rs6712861	0.208235	1524	4.85983427219874e-06	0.715359953340387	1.35211471720502e-06	0.198943467178826	0.0856903675317978
THADA	chr2:43625278:43655239:clu_52870	rs12477964	0.0330032	1438	5.68317712261711e-06	0.836200922060511	6.40181435083184e-07	0.0941241766520897	0.0696685779288417
THADA	chr2:43655370:43657352:clu_52870	rs79388962	-0.144773	1372	5.7956360381864e-06	0.853367093658337	5.71036721326765e-07	0.0840185772673211	0.0626079624015823
THADA	chr2:43657441:43712373:clu_52870	rs6736105	-0.0765995	1579	5.09294566781846e-06	0.750528277170107	1.10832227858759e-06	0.163243069583037	0.0862224519789095
THADA	chr2:43712464:43725972:clu_52870	rs6741367	0.0756483	1495	5.67178208033108e-06	0.836352682264412	7.00626162381955e-07	0.103252920186193	0.0603880251411507
THADA	chr2:43735919:43755018:clu_52871	rs77346854	-0.0188637	1516	5.6430736418077e-06	0.830694233547869	7.36720331892413e-07	0.10838873404216	0.0609106526159981
THADA	chr2:43755127:43768298:clu_52872	rs17031289	-0.0356841	1546	5.40766623221282e-06	0.796157136411627	8.9219750505636e-07	0.131283447834746	0.0725531158898892
THADA	chr2:43779064:43779343:clu_52873	rs7557371	-0.072041	1523	5.47516993071078e-06	0.805830476540359	7.83639604595585e-07	0.115256449712559	0.0789068149375464
THADA	chr2:43779478:43783484:clu_52874	rs75877289	0.0408435	1535	5.74456670172276e-06	0.845532159451486	6.28366186451272e-07	0.0924260226007041	0.0620354450149228
THADA	chr2:43783694:43787373:clu_52874	rs13029287	-0.0530799	1536	5.74235381025287e-06	0.845102315271216	6.35495047552506e-07	0.0934643908542248	0.0614269160257019
THADA	chr2:43787524:43793837:clu_52874	rs79492414	-0.0253751	1558	5.50962736782211e-06	0.810974346064039	6.50039271777352e-07	0.0955872986691379	0.0934321956001825
PLEKHH2	chr2:43906064:43919653:clu_52879	rs4148193	-0.227596	1767	6.23723577694908e-06	0.812008579976258	9.89010142461232e-07	0.128697224742453	0.0592869690353698
PLEKHH2	chr2:43927747:43931120:clu_52881	rs4131229	0.00627269	1726	6.3538828075629e-06	0.778349844969791	9.08378517364622e-07	0.111165777039142	0.110477115729743
PLEKHH2	chr2:43933555:43934540:clu_52882	rs13396273	-0.0217168	1722	6.70677746176333e-06	0.811337943936698	1.07897454573148e-06	0.130468433614256	0.0581858366970384
PLEKHH2	chr2:43934684:43937129:clu_52882	rs6741243	0.0738806	1729	6.70014698743483e-06	0.81058763553527	1.01048082183867e-06	0.122181327588234	0.0672233262486858
PLEKHH2	chr2:43939522:43947808:clu_52884	rs41360247	-0.0681462	1747	6.90099060939782e-06	0.816787996928668	1.03807546416938e-06	0.122804218733551	0.0603998452717075
PLEKHH2	chr2:43947888:43953411:clu_52884	rs13430143	-0.0727756	1736	6.67862709766096e-06	0.786339183755724	1.32337021955339e-06	0.155755242319458	0.0578975719274997
PLEKHH2	chr2:43958741:43965480:clu_52885	rs79220359	-0.17001	1754	6.41142306568699e-06	0.741214652519538	1.62663667121819e-06	0.187982141392217	0.0707951680285074
PLEKHH2	chr2:43965659:43968085:clu_52886	rs59880010	0.103502	1753	6.78805964499024e-06	0.783757839820857	1.36713661794441e-06	0.157792859293443	0.0584411456894373
PLEKHH2	chr2:43968182:43969880:clu_52886	rs6544714	-0.109636	1758	6.87001801636804e-06	0.792708989649685	1.19446724726794e-06	0.137756156126299	0.0695267897387532
PLEKHH2	chr2:43970057:43970973:clu_52887	rs58318775	0.00989942	1760	7.0292460435343e-06	0.802170915022405	1.10521030662581e-06	0.126053788476132	0.0717671620451136
PLEKHH2	chr2:43980899:43984258:clu_52888	rs6733452	-0.0381111	1812	7.12007423325269e-06	0.810899959273776	1.13561050402913e-06	0.129274017990925	0.0598177670505614
PLEKHH2	chr2:43984403:43986039:clu_52888	rs72798819	-0.154354	1811	6.86321110831456e-06	0.776254300231295	1.45716697835351e-06	0.164751933998951	0.058985445391667
PLEKHH2	chr2:43989529:43991367:clu_52889	rs145185864	0.0760178	1839	6.99598123283812e-06	0.787595569774238	1.37297848576017e-06	0.154509677019776	0.0578863842462665
DYNC2LI1	chr2:44001285:44003921:clu_52890	rs17578296	0.334324	1872	5.11154477123553e-06	0.505019802684901	4.64436247394166e-06	0.458826122404377	0.036144319003476
DYNC2LI1	chr2:44004038:44010659:clu_52891	rs17496618	0.000821672	1880	1.20612527352563e-05	0.816605234203421	1.85496119868944e-06	0.125532009638538	0.0578488399441062
DYNC2LI1	chr2:44010693:44014320:clu_52892	rs4550713	-0.0250709	1883	2.07793725756648e-05	0.768290726888012	4.82423609372894e-06	0.178316592922647	0.0533670765806721
DYNC2LI1	chr2:44014389:44016772:clu_52892	rs2954805	-0.0569888	1868	6.18948006764651e-05	0.769826361533652	1.44475488706474e-05	0.179643217418967	0.0504540786978335
DYNC2LI1	chr2:44016860:44021596:clu_52893	rs138024211	0.0668636	1872	6.96171174041092e-05	0.818713324573734	1.07801227614122e-05	0.126722240917848	0.054484037268253
DYNC2LI1	chr2:44021782:44023026:clu_52894	rs2955279	0.0154824	1868	6.96613697908198e-05	0.819130979132666	1.08020495780713e-05	0.126964830573133	0.0538237268748332
DYNC2LI1	chr2:44021782:44023029:clu_52894	rs2955279	-0.114568	1868	6.88288678782968e-05	0.809341793120642	1.17189492701173e-05	0.137747422886356	0.0528302361758547
DYNC2LI1	chr2:44023097:44023857:clu_52894	rs4953031	0.0398035	1869	6.68820751763154e-05	0.786415662602735	1.35352247588715e-05	0.159096047898861	0.0544078721984696
DYNC2LI1	chr2:44023934:44027980:clu_52895	rs111472651	0.309931	1888	6.15761611831017e-05	0.724082905475017	1.79861427738225e-05	0.21143723064992	0.0644003015711063
DYNC2LI1	chr2:44032385:44036844:clu_52896	rs138133335	0.136713	1900	5.6798546945972e-05	0.66750777331462	2.22038447363135e-05	0.260872440284	0.0715407840096983
LRPPRC	chr2:44117015:44121684:clu_52899	rs12621907	0.0252683	1966	0.0232597480010929	0.698966729062022	0.00702497004510318	0.21104405870883	0.0597044941829526
LRPPRC	chr2:44121768:44123773:clu_52900	rs12621654	-0.00248193	1954	0.0257255045254297	0.773207887423172	0.00428272117114839	0.128653690823733	0.0681301960565173
LRPPRC	chr2:44123847:44126358:clu_52900	rs72790983	-0.110996	1951	0.0256416960676567	0.770707960442344	0.00434107991555023	0.130410178390938	0.0688990851835109
LRPPRC	chr2:44139697:44145164:clu_52901	rs113621585	0.131824	1922	0.0258431812750763	0.776469477459938	0.00423954839413323	0.127312916921884	0.0661348759489682
LRPPRC	chr2:44145272:44145395:clu_52901	rs73923862	0.256148	1914	0.0257079752217041	0.772401454948627	0.00422443244108085	0.126853137084581	0.0708130003040071
LRPPRC	chr2:44145537:44152206:clu_52901	rs6760088	0.0237205	1927	0.0260533339975867	0.782680467597864	0.00399864988261876	0.120058113495932	0.0672094350259988
LRPPRC	chr2:44162017:44170826:clu_52902	rs2167979	0.215586	1885	5.71049087963752e-05	0.00170936881741728	0.0321536483740821	0.962478347137453	0.00360153076225112
LRPPRC	chr2:44171033:44172471:clu_52903	rs6761351	0.0243317	1863	0.0245890066144071	0.736029467320255	0.00442725110996414	0.132419584940904	0.10253469001447
LRPPRC	chr2:44174509:44174870:clu_52904	rs17031462	0.140011	1858	0.0246962553767765	0.739275949498175	0.00547141381682902	0.163718504590115	0.066837876718105
LRPPRC	chr2:44174914:44175261:clu_52904	rs725238	-0.0648224	1860	0.0253260157088374	0.758128268967864	0.00483663382103916	0.144716492841159	0.0669925886611007
LRPPRC	chr2:44175657:44176741:clu_52905	rs2374574	-0.0476907	1863	0.0246261162740916	0.737178594261329	0.00541835198883219	0.162126793329418	0.070650144146329
LRPPRC	chr2:44184590:44187680:clu_52906	rs80212642	-0.235127	1857	0.0263573320306368	0.789230219951064	0.00376555448403373	0.112685840819844	0.0679610527144219
LRPPRC	chr2:44209573:44222938:clu_52907	rs78451356	-0.0861464	1823	0.0262951150070809	0.78773124808178	0.00384453856136145	0.115105058623698	0.0670240397260792
SETD9	chr5:56205570:56206996:clu_43325	rs4700067	0.655828	1509	0.00960103028915291	0.796895078060935	0.00187053327031032	0.155219711119223	0.036413647260378
SETD9	chr5:56205570:56208838:clu_43325	rs145776254	-0.17194	1512	0.00989822877906303	0.82152773043831	0.0013878819922604	0.115138616228479	0.0520475425618878
SETD9	chr5:56207363:56208838:clu_43325	rs145776254	-0.302843	1511	0.00962805178185115	0.799077794213274	0.0013754846952304	0.114082178145884	0.0758364911637597
SETD9	chr5:56208961:56209701:clu_43326	rs62356620	0.196615	1512	0.00929310102975546	0.771301191194809	0.00193425531449891	0.160480748353181	0.0569907041077558
SETD9	chr5:56209816:56210688:clu_43327	rs4700655	0.0804051	1511	0.00980497847331186	0.813775559364632	0.00162899354724238	0.135160578730337	0.0396298898844767
SETD9	chr5:56210793:56212642:clu_43326	rs148791664	0.398792	1514	0.00908154861980369	0.753766529567706	0.00209944545747825	0.17419264943131	0.0608598269237027
GPBP1	chr5:56470038:56471275:clu_43330	rs75902584	0.0968478	1353	0.218450067002687	0.633930907219512	0.0242321574619655	0.0702673604742534	0.0531195078415819
GPBP1	chr5:56472227:56509901:clu_43331	rs141897084	-0.0331322	1453	0.201142300968288	0.583373292440395	0.0431530544471472	0.125109641517566	0.0472217106266044
GPBP1	chr5:56510020:56517203:clu_43331	rs17676499	0.0165287	1349	0.209815579791412	0.60781532886794	0.0334886022555458	0.0969613045881038	0.0519191844969985
GPBP1	chr5:56510020:56526673:clu_43331	rs72759788	0.00539228	1368	0.206902732868582	0.59939414766535	0.0375074597928937	0.108610969897483	0.0475846897756912
GPBP1	chr5:56517223:56526673:clu_43331	rs1534258	-0.0363995	1337	0.546780070929425	0.204032801303036	0.167470910367391	0.0624730838471041	0.0192431335530434
GPBP1	chr5:56526796:56526925:clu_43335	rs72644090	-0.418361	1300	0.64223164000839	0.239140642935929	0.0715890208195941	0.0266364040678043	0.020402292168283
GPBP1	chr5:56531859:56532940:clu_43332	rs28876819	-0.0123861	1287	0.810222752812333	0.0839849093173286	0.0893701790782552	0.00925664046528422	0.00716551832679917
GPBP1	chr5:56531859:56542127:clu_43332	rs62356629	-0.0249923	1339	0.799476725015929	0.0833437240443	0.0998889829774336	0.0104063267652536	0.00688424119708371
GPBP1	chr5:56532999:56542127:clu_43332	rs2662011	-0.0271211	1334	0.809349913666327	0.0843295254394557	0.0895962976457237	0.00932801373078296	0.00739624951771097
GPBP1	chr5:56542311:56542902:clu_43336	rs2136220	0.375034	1304	0.794954318993501	0.0825787760432438	0.104513094816236	0.0108495742476436	0.00710423589937582
GPBP1	chr5:56543042:56545236:clu_43337	rs114310864	0.32729	1303	0.788952231303451	0.0819487048276712	0.110682958457526	0.0114897457228581	0.00692635968849365
GPBP1	chr5:56545403:56546781:clu_43333	rs144560541	-0.255826	1299	0.807333072775858	0.0838239254442656	0.0919689365008418	0.00954163507329115	0.00733243020574351
GPBP1	chr5:56546968:56557007:clu_43333	rs2063257	-0.173029	1335	0.809996539424625	0.0842046662299022	0.0890792274654994	0.00925292677105072	0.00746664010892232
ST8SIA4	chr5:100192100:100222047:clu_43993	rs116364817	-0.500764	269	0.97026860611732	0.0041292426688865	0.0250921500380024	0.000106382869412357	0.000403618306378519
PAM	chr5:102203097:102237060:clu_43998	rs77798670	0.0484727	1224	1.8921704055749e-10	0.883587410807919	1.62077887907606e-11	0.0756447946177472	0.040767794368908
PAM	chr5:102237117:102249638:clu_43998	rs1645533	0.0640925	1158	1.89608389015912e-10	0.885164890367653	1.59092508641642e-11	0.0742298971114379	0.0406052123153923
PAM	chr5:102296933:102309820:clu_43999	rs75222995	-0.0901892	1114	3.73339395033421e-12	0.0175170481074417	3.96754200273829e-11	0.18535956153183	0.79712339031732
PAM	chr5:102296933:102325976:clu_43999	rs462957	-0.355596	1131	2.62914008206076e-18	1.23390884564603e-08	1.8975734122344e-11	0.0881451198668494	0.911854867775089
PAM	chr5:102310140:102325976:clu_43999	rs149787226	-0.538278	1078	3.28752051071778e-15	1.54277804197451e-05	5.0376582074684e-11	0.235644480480447	0.764340091688751
PAM	chr5:102345570:102353038:clu_44000	rs34375252	-0.0204334	915	1.15865272135961e-10	0.543726814690872	2.34446808215846e-11	0.109673438091403	0.346599747078414
PAM	chr5:102353137:102355494:clu_44000	rs249496	-0.132922	891	8.90712465835312e-11	0.418106737485859	2.58293629406765e-11	0.120783748784587	0.461109513614654
PAM	chr5:102355547:102360835:clu_44001	rs249495	0.0314142	896	1.52033869000631e-10	0.713729281636031	2.73831358666817e-11	0.12839338574821	0.157877332436344
PAM	chr5:102355547:102360838:clu_44001	rs249495	-0.0341759	896	1.22634361678992e-10	0.575712079422758	2.68511430296322e-11	0.125755268067308	0.298532652360449
PAM	chr5:102355547:102363886:clu_44001	rs73192740	-0.028039	899	1.81180709634823e-10	0.850560051484201	1.84408202516901e-11	0.0865082328102443	0.0629317155059346
PAM	chr5:102355547:102363889:clu_44001	rs73192740	-0.172012	899	1.58555908722028e-10	0.744347023242989	2.1794522437119e-11	0.102161761681247	0.153491214895414
PAM	chr5:102355547:102364591:clu_44001	rs73192745	0.153074	901	1.32494744222893e-10	0.622001972496661	3.30750989454714e-11	0.155049450379459	0.22294857695831
PAM	chr5:102361038:102363886:clu_44001	rs11742729	-0.291127	886	1.92045132016721e-10	0.901525501722001	1.24629597783464e-11	0.0584653846402422	0.04000911343325
PAM	chr5:102361038:102363889:clu_44001	rs11742729	0.0859395	886	1.83811695018383e-10	0.862874933791036	1.35540450975884e-11	0.0635537499216187	0.0735713160899803
PAM	chr5:102361038:102364591:clu_44001	rs6885642	-0.498548	888	1.74634515493298e-10	0.819794285111277	2.08643971842068e-11	0.0978622898315642	0.0823434248616612
PAM	chr5:102363942:102364591:clu_44001	rs73192768	0.293175	874	1.54954906280814e-10	0.727330024128812	2.92697664040096e-11	0.137251518270439	0.135418457416525
GIN1	chr5:102423876:102432245:clu_44002	rs7714539	-0.141555	826	1.48039819039824e-10	0.690675203795925	3.30182762668321e-11	0.153890313732585	0.155434482290432
GIN1	chr5:102432530:102433018:clu_44002	rs55652053	0.0906359	807	1.83678704265433e-10	0.85695231806195	1.56621804959673e-11	0.0730017995208731	0.0700458822178352
GIN1	chr5:102433194:102433294:clu_44002	rs1552916	-0.0512485	805	1.93255615006651e-10	0.901634462780157	1.12981818764765e-11	0.0526659908553778	0.0456995461599117
PPIP5K2	chr5:102509676:102513368:clu_44009	rs158398	0.114851	839	2.11455339187423e-10	0.834720868235614	2.38624540123963e-11	0.0941259875288357	0.0711531440002313
PPIP5K2	chr5:102515889:102520373:clu_44010	rs257304	-0.0915612	845	2.23587565895202e-10	0.866406824391109	1.61568797345447e-11	0.0625372147937886	0.0710559605753567
PPIP5K2	chr5:102520445:102522021:clu_44011	rs114347130	-0.0738899	845	2.4292136630675e-10	0.905552182618079	1.43754464732467e-11	0.0535472919334326	0.0409005251911932
PPIP5K2	chr5:102520445:102526543:clu_44011	rs62364885	-0.28139	852	2.34913060492894e-10	0.875513166584789	1.6377224635403e-11	0.0609738587678439	0.063512974396077
GNRH1	chr8:25276976:25279089:clu_66835	rs11135858	0.0482033	1287	2.19648769506728e-24	0.86161295448489	2.03348916206348e-25	0.0797086979401792	0.0586783475749273
GNRH1	chr8:25279184:25280706:clu_66836	rs7000383	0.0445074	1286	2.20950736759028e-24	0.866164113868619	2.14547141861384e-25	0.0840563147278353	0.049779571403546
KCTD9	chr8:25287489:25290020:clu_66838	rs117822407	-0.0707975	1302	2.15096440780934e-24	0.843113956544088	3.00550628698895e-25	0.117767772807673	0.0391182706482376
KCTD9	chr8:25290153:25290846:clu_66838	rs11991906	-0.172086	1292	2.10223404522109e-24	0.824014585840248	3.42571525189296e-25	0.134236322415672	0.0417490917440793
KCTD9	chr8:25290951:25292879:clu_66839	rs2709611	-0.0359891	1291	2.14831336056857e-24	0.842076539304464	2.62196432701113e-25	0.102718193026748	0.0552052676687877
KCTD9	chr8:25297180:25298093:clu_66840	rs2320889	-0.137136	1287	2.19446519786117e-24	0.860070581439933	2.21655656847388e-25	0.0868197693784701	0.0531096491815952
KCTD9	chr8:25298189:25301808:clu_66841	rs74522688	-0.0741769	1297	2.20015672057353e-24	0.862397510440317	2.24756422735448e-25	0.0880484335145832	0.0495540560450977
KCTD9	chr8:25301851:25303645:clu_66841	rs189302749	0.184729	1293	2.24357829973218e-24	0.879332663180181	2.11766386459276e-25	0.0829605556817801	0.0377067811380377
KCTD9	chr8:25303766:25315715:clu_66841	rs17053371	0.0461791	1306	2.21236531258416e-24	0.867124150681106	2.43528548214422e-25	0.0954121821647877	0.0374636671541037
