GENE	lead_snp	lead_snp_effect	nsnps	PPH0	PPH1	PPH2	PPH3	PPH4
DYNC2LI1	rs11687578	-0.0542175	1865	3.81960311063706e-27	1.67891192248534e-05	2.27500556896785e-22	0.999981898069299	1.3128114766719e-06
ABCG5	rs79563258	0.0672047	1874	1.56842634757983e-18	0.0460077314532237	3.23915309117564e-17	0.950159276577337	0.00383299196943889
ABCG8	rs79563258	-0.0275697	1874	1.04775701513277e-28	3.07345789331086e-12	3.40904951849034e-17	0.999999999996575	3.46406754884715e-13
LRPPRC	rs78905905	0.183114	1765	4.03280546227754e-12	1.33743403324352e-10	0.0292494694098209	0.970024637565062	0.000725892887340669
AC022431.1	rs176120	0.154632	1858	2.98683741805471e-15	0.836261996273572	4.5730809813423e-16	0.128002496753715	0.0357355069727099
MAP3K1	rs831817	0.00972375	1617	1.34025575370397e-07	0.816609800122172	1.75136094255154e-08	0.106632615407761	0.0767574329308826
AC008937.2	rs12521083	0.281588	1526	0.0958805147732942	0.658653243907111	0.0211548718757258	0.145244777552373	0.0790665918914955
SETD9	rs16886638	-0.46348	1491	9.28984136509095e-19	6.38330728887255e-18	0.123671745164905	0.849756240537522	0.0265720142975749
CTD-2310F14.1	rs62356624	-0.214175	1477	0.000175676213538363	0.00120725236043762	0.122379144643797	0.840957978409271	0.0352799483729554
MIER3	rs138695652	0.191613	1417	0.108289022205027	0.737331250558999	0.0136022741054468	0.0925685824937407	0.0482088706367863
GPBP1	rs138359366	0.223925	1329	0.290958648366097	0.452509385679084	0.076485512538705	0.118891873579309	0.0611545798368049
CTD-2023N9.1	rs146252338	-0.500905	1254	0.0750480200414725	0.00504498016524845	0.85802559236846	0.0576751581414403	0.00420624928337842
CTD-2023N9.2	rs76088434	-0.054464	1226	1.10050993143166e-06	5.890563019965e-08	0.94545510491076	0.0506022613318367	0.00394147434184091
CTD-2023N9.3	rs11750000	-0.192589	1158	8.85232865402646e-15	4.53229214403762e-16	0.947402701265456	0.0485018512700963	0.00409544746444126
ST8SIA4	rs116393217	0.102005	316	0.959471604449349	0.0137654451979929	0.0249155845785587	0.000355970057547553	0.00149139571655153
AC008948.1	rs10053827	-0.163299	1717	2.14351370791668e-15	0.632100955670129	8.35652739260289e-16	0.246304118679034	0.121594925650835
SLCO4C1	rs186179553	0.17546	1607	1.31627416037838e-15	0.583468239634501	7.3369507821911e-16	0.325135512098805	0.0913962482666918
SLCO6A1	rs75925449	0.123018	1507	1.90406505927829e-19	0.00594589849976697	3.17962192360721e-17	0.99291184321334	0.00114225828689136
PAM	rs145340478	0.500899	1209	1.62609014165857e-20	0.555110920568376	1.16923605759741e-20	0.399105338122463	0.0457837413091586
EIF3KP1	rs257311	0.732926	863	4.16829126917552e-40	3.73785900745469e-20	1.1151547612851e-20	0.999999999999986	7.43132463867929e-15
PPIP5K2	rs10463988	-0.516828	793	2.85520083808033e-30	2.5594872065851e-10	1.11553627974188e-20	0.99999999943951	3.0454368486273e-10
GIN1	rs75457267	0.330414	793	4.14787600688309e-23	0.00371827979052305	1.11006903128127e-20	0.995097810913429	0.00118390929605114
C5orf30	rs34815	-0.0405748	905	1.52767675834418e-20	0.849820953315074	1.37992854548424e-21	0.0766896206772811	0.0734894260076449
NUDT12	rs13169488	-0.0872818	1315	2.10610475681739e-25	1.29527522041856e-08	1.6259901326918e-17	0.999999986088717	9.58530366435609e-10
DOCK5	rs11781578	0.00270168	1359	0.772574087409634	0.0202415641415187	0.199426464728143	0.00522246972544151	0.00253541399526322
GNRH1	rs55702721	0.0497503	1288	0.860172173574048	0.0331170204404036	0.100387601690519	0.00386250768912369	0.00246069660590607
RP11-395I14.2	rs34195909	-0.218587	1293	0.842132223025552	0.0321466632706096	0.117498520654219	0.00448152297158937	0.00374107007802979
KCTD9	rs2433109	-0.0511465	1268	0.87323090404903	0.032571313976298	0.0883027367133422	0.00329106800471341	0.0026039772566159
CDCA2	rs7841547	-0.00645636	1268	0.783954104369778	0.0292379196336244	0.176953883243195	0.00659631659724609	0.00325777615615638
EBF2	rs13279099	0.279011	1672	0.730372122662757	0.0616059545019844	0.187086084878542	0.0157753114758764	0.00516052648084046
