SIGNAL	Adipose	Islets	Liver	SkeletalMuscle	unclassified
17_65267115_65466619_1	0.2734	0.2065	0.2548	0.2627	0
17_7093302_7593110_1	0.184	0.1499	0.3004	0.3585	0
18_60746163_60945600_1	0.3863	0	0.3133	0.3003	0
19_19229947_19929666_1	0.237	0.2074	0.2745	0.2762	0
19_33674766_34074549_1	0.3619	0	0.3187	0.3193	0
19_45287674_45487420_1	0.289	0.2244	0.2024	0.2776	0
19_8329334_8529246_1	0.4251	0.0939	0.2292	0.2518	0
2_111498050_112296552_1	0.4917	0.0418	0.0426	0.3788	0
2_111498050_112296552_2	0.0239	0	0	0.0211	0
2_165355169_165854983_1	0.2337	0.3087	0.3145	0.1431	0
2_172198733_172498255_1	0.4099	0.216	0.0312	0.3339	0
2_219600065_219899797_1	0.1559	0.1879	0.4513	0.191	0
2_219600065_219899797_2	0	0.0034	0.0063	0.0042	0
2_24598739_25598423_1	0.3035	0.2624	0.2458	0.1871	0
2_25630648_25829510_1	0	0.9597	0	0	0
2_25630648_25829510_2	0.0086	0.007	0.0079	0.0075	0
2_43321390_44120947_1	0.2675	0.2507	0.2328	0.2393	0
20_45340230_45839939_1	0.2483	0.1559	0.3644	0.2225	0
20_62590891_62790549_1	0.2172	0.2244	0.2587	0.2964	0
3_11867871_12967751_1	0.3813	0.2363	0	0.3821	0
3_128470671_129770296_1	0.3237	0.2461	0.1697	0.2598	0
3_137897905_138397435_1	0.2365	0.2897	0.2745	0.1905	0
3_149918700_150118281_1	0.4027	0	0.3391	0.2582	0
3_185173879_185573440_1	0.0203	0.1691	0.3297	0.4274	0
3_185173879_185573440_2	0	0.0151	0.0176	0.0119	0
3_46797507_47597245_1	0.2856	0.2443	0.244	0.2114	0
3_46797507_47597245_2	8e-04	6e-04	6e-04	4e-04	0
3_46797507_47597245_3	4e-04	3e-04	4e-04	4e-04	0
3_46797507_47597245_4	3e-04	2e-04	0	2e-04	0
3_64477535_64977349_1	0.6174	0.3826	0	0	0
4_123597171_124296888_1	0	0	0	0	0.9792
4_123597171_124296888_2	0.0036	0.003	0.0036	0.0033	0
4_157515627_157814976_1	0.3688	0	0.3355	0.2861	0
4_89433246_89932671_1	0.2738	0.2359	0.2298	0.2541	0
5_101375152_102774930_1	0.3304	0.2518	0.1328	0.2822	0
5_127250623_127550268_1	0.5257	0	0.0071	0.4638	0
5_53171447_53471290_1	0.3332	0.2901	0.3675	0	0
5_55650935_56050465_1	0.4086	0.2532	0.3382	0	0
5_76325023_76524346_1	0.2779	0.2537	0.2084	0.2601	0
6_125990932_128290412_1	0.2931	0	0.4439	0.2631	0
6_130212130_130511789_1	0.2818	0.2275	0.2329	0.2479	0
6_139706975_139906701_1	0.3744	0	0.2209	0.4045	0
6_160593700_160992192_1	0.3897	0.1215	0.2545	0.227	0
6_163993124_164192544_1	0.4154	0	0.171	0.4072	0
6_20330076_21229569_1	0.2722	0.2344	0.2388	0.2546	0
6_33866907_34966705_1	0.0087	0.0062	0.0061	0.0077	0.9618
6_43497516_43896807_1	0.1394	0.4007	0.2598	0.2001	0
7_130323357_130522932_1	0.1323	0	0.7253	0.1326	0
7_28038373_28338080_1	0.3335	0.2656	0.1256	0.2734	0
7_46374708_46674496_1	0.095	0.1496	0.4059	0	0.3408
7_92982725_93182642_1	0.0047	0	0.565	0.0086	0.4124
8_12517355_12717076_1	0.0956	0	0.0778	0.083	0.7269
8_12517355_12717076_2	0.0029	0	0.0024	0.0026	0
8_19724981_20024524_1	0.2565	0.215	0.5209	0	0
8_25274105_25973828_1	0.1419	0.171	0.4107	0.2765	0
8_72253716_72553617_1	0	0.0074	0.9776	0.0141	0
9_139135795_139435397_1	0.237	0.2608	0.1787	0.3198	0
